region,date,mean,median,lower_90,upper_90,lower_50,upper_50
AK,4/7/20,0.96374645,0.973862709,0.606497965,1.271239627,0.887084666,1.113359753
AK,4/8/20,0.960960255,0.965340595,0.657427721,1.322875509,0.866268692,1.108430309
AK,4/9/20,0.960305284,0.962563663,0.597006347,1.269403718,0.827693647,1.072008852
AK,4/10/20,0.95874898,0.960853192,0.585150355,1.266613013,0.832919709,1.07745111
AK,4/11/20,0.956636709,0.964426326,0.612911961,1.289218164,0.812231409,1.059646041
AK,4/12/20,0.95439318,0.960572629,0.61607671,1.290955512,0.844356963,1.081533458
AK,4/13/20,0.954987857,0.95860409,0.637422535,1.295246588,0.852208511,1.086974727
AK,4/14/20,0.958994143,0.964894567,0.649469182,1.331845798,0.847419196,1.08607957
AK,4/15/20,0.961621092,0.968396232,0.627425009,1.308253203,0.79831009,1.038402132
AK,4/16/20,0.961991171,0.967448662,0.626548785,1.295227937,0.856053087,1.089208237
AK,4/17/20,0.959508121,0.961822902,0.626194579,1.305757291,0.823612874,1.05233757
AK,4/18/20,0.960133537,0.957913102,0.623129363,1.295467163,0.836376045,1.062670917
AK,4/19/20,0.962559636,0.959840132,0.632221508,1.314620821,0.870584518,1.105422614
AK,4/20/20,0.965130326,0.962353858,0.604889639,1.294153562,0.874766827,1.113148692
AK,4/21/20,0.967573985,0.965652623,0.588977095,1.29459749,0.859908231,1.101362429
AK,4/22/20,0.97197849,0.972925881,0.618660586,1.323239253,0.858295431,1.098559027
AK,4/23/20,0.975266152,0.979223869,0.604348975,1.322656735,0.862003515,1.102381393
AK,4/24/20,0.978788357,0.983422288,0.582267052,1.295335676,0.869502219,1.10680936
AK,4/25/20,0.983522828,0.985673776,0.585530352,1.303669851,0.88386942,1.119558043
AK,4/26/20,0.985415825,0.989263291,0.59243031,1.311414456,0.885490971,1.117054888
AK,4/27/20,0.987764939,0.990764089,0.660844731,1.376087498,0.868241455,1.098486571
AK,4/28/20,0.991013299,0.991448645,0.675624975,1.375911714,0.884271944,1.11985665
AK,4/29/20,0.9930497,0.99306536,0.65256394,1.347450644,0.874035533,1.119051348
