,region
0,AK
1,AK
2,AK
3,AK
4,AK
5,AK
6,AK
7,AK
8,AK
9,AK
10,AK
11,AK
12,AK
13,AK
14,AK
15,AK
16,AK
17,AK
18,AK
19,AK
20,AK
21,AK
22,AK
23,AK
24,AK
25,AK
26,AK
27,AK
28,AK
29,AK
30,AK
31,AK
32,AK
33,AK
34,AK
35,AK
36,AK
37,AK
38,AK
39,AK
40,AK
41,AK
42,AK
43,AK
44,AK
45,AK
46,AK
47,AK
48,AK
49,AL
50,AL
51,AL
52,AL
53,AL
54,AL
55,AL
56,AL
57,AL
58,AL
59,AL
60,AL
61,AL
62,AL
63,AL
64,AL
65,AL
66,AL
67,AL
68,AL
69,AL
70,AL
71,AL
72,AL
73,AL
74,AL
75,AL
76,AL
77,AL
78,AL
79,AL
80,AL
81,AL
82,AL
83,AL
84,AL
85,AL
86,AL
87,AL
88,AL
89,AL
90,AL
91,AL
92,AL
93,AL
94,AL
95,AL
96,AL
97,AL
98,AR
99,AR
100,AR
101,AR
102,AR
103,AR
104,AR
105,AR
106,AR
107,AR
108,AR
109,AR
110,AR
111,AR
112,AR
113,AR
114,AR
115,AR
116,AR
117,AR
118,AR
119,AR
120,AR
121,AR
122,AR
123,AR
124,AR
125,AR
126,AR
127,AR
128,AR
129,AR
130,AR
131,AR
132,AR
133,AR
134,AR
135,AR
136,AR
137,AR
138,AR
139,AR
140,AR
141,AR
142,AR
143,AR
144,AR
145,AR
146,AR
147,AZ
148,AZ
149,AZ
150,AZ
151,AZ
152,AZ
153,AZ
154,AZ
155,AZ
156,AZ
157,AZ
158,AZ
159,AZ
160,AZ
161,AZ
162,AZ
163,AZ
164,AZ
165,AZ
166,AZ
167,AZ
168,AZ
169,AZ
170,AZ
171,AZ
172,AZ
173,AZ
174,AZ
175,AZ
176,AZ
177,AZ
178,AZ
179,AZ
180,AZ
181,AZ
182,AZ
183,AZ
184,AZ
185,AZ
186,AZ
187,AZ
188,AZ
189,AZ
190,AZ
191,AZ
192,AZ
193,AZ
194,AZ
195,AZ
196,CA
197,CA
198,CA
199,CA
200,CA
201,CA
202,CA
203,CA
204,CA
205,CA
206,CA
207,CA
208,CA
209,CA
210,CA
211,CA
212,CA
213,CA
214,CA
215,CA
216,CA
217,CA
218,CA
219,CA
220,CA
221,CA
222,CA
223,CA
224,CA
225,CA
226,CA
227,CA
228,CA
229,CA
230,CA
231,CA
232,CA
233,CA
234,CA
235,CA
236,CA
237,CA
238,CA
239,CA
240,CA
241,CA
242,CA
243,CA
244,CA
245,CO
246,CO
247,CO
248,CO
249,CO
250,CO
251,CO
252,CO
253,CO
254,CO
255,CO
256,CO
257,CO
258,CO
259,CO
260,CO
261,CO
262,CO
263,CO
264,CO
265,CO
266,CO
267,CO
268,CO
269,CO
270,CO
271,CO
272,CO
273,CO
274,CO
275,CO
276,CO
277,CO
278,CO
279,CO
280,CO
281,CO
282,CO
