,date,positive
0,2020-03-05,0.0
1,2020-03-06,7.0
2,2020-03-07,9.0
3,2020-03-08,19.0
4,2020-03-09,26.0
5,2020-03-10,19.0
6,2020-03-11,24.0
7,2020-03-12,45.0
8,2020-03-13,0.0
9,2020-03-14,50.0
10,2020-03-15,41.0
11,2020-03-16,42.0
12,2020-03-17,148.0
13,2020-03-18,128.0
14,2020-03-19,313.0
15,2020-03-20,139.0
16,2020-03-21,216.0
17,2020-03-22,257.0
18,2020-03-23,197.0
19,2020-03-24,369.0
20,2020-03-25,253.0
21,2020-03-26,651.0
22,2020-03-27,873.0
23,2020-03-28,764.0
24,2020-03-29,1065.0
25,2020-03-30,739.0
26,2020-03-31,1035.0
27,2020-04-01,673.0
28,2020-04-02,1036.0
29,2020-04-03,1510.0
30,2020-04-04,1325.0
31,2020-04-05,1412.0
32,2020-04-06,898.0
33,2020-04-07,1529.0
34,2020-04-08,1092.0
35,2020-04-09,1352.0
36,2020-04-10,1163.0
37,2020-04-11,1143.0
38,2020-04-12,1179.0
39,2020-04-13,554.0
40,2020-04-14,990.0
41,2020-04-15,1086.0
42,2020-04-16,1758.0
43,2020-04-17,1346.0
44,2020-04-18,1435.0
45,2020-04-19,1370.0
46,2020-04-20,645.0
47,2020-04-21,2283.0
48,2020-04-22,2135.0
49,2020-04-23,1973.0
50,2020-04-24,1885.0
51,2020-04-25,1883.0
52,2020-04-26,1027.0
53,2020-04-27,1300.0
54,2020-04-28,1567.0
55,2020-04-29,1469.0
56,2020-04-30,2417.0
57,2020-05-01,1525.0
58,2020-05-02,1755.0
59,2020-05-03,1419.0
60,2020-05-04,1321.0
61,2020-05-05,1275.0
62,2020-05-06,2603.0
63,2020-05-07,1799.0
64,2020-05-08,1898.0
65,2020-05-09,2049.0
66,2020-05-10,2119.0
67,2020-05-11,1259.0
68,2020-05-12,1443.0
69,2020-05-13,1759.0
70,2020-05-14,2023.0
71,2020-05-15,1772.0
72,2020-05-16,1857.0
73,2020-05-17,2046.0
74,2020-05-18,1591.0
75,2020-05-19,1365.0
76,2020-05-20,2262.0
77,2020-05-21,2140.0
78,2020-05-22,2247.0
79,2020-05-23,2187.0
80,2020-05-24,2079.0
81,2020-05-25,1848.0
