,0
53,6
55,12
335,15
365,2
446,4
476,15
504,2
557,14
668,5
756,1
765,13
767,9
769,13
770,11
778,8
779,6
794,3
796,3
797,3
798,5
799,13
803,6
805,20
810,16
890,3
1042,10
1043,11
1044,7
1045,11
1047,8
1048,14
1049,0
1053,9
1054,7
1055,7
1062,6
1144,8
1145,2
1146,5
1149,1
1150,11
1153,13
1154,15
1156,6
1159,4
1160,11
1161,2
1164,3
1165,1
1168,12
1183,20
1224,7
1282,1
1284,16
1341,8
1342,5
1343,14
1344,2
1369,3
1372,7
1374,5
1380,6
1391,7
1396,3
1400,11
1401,20
1402,3
1403,17
1405,2
1406,1
1407,15
1408,5
1409,13
1410,6
1411,3
1412,5
1413,8
1414,25
1424,4
1435,7
1557,5
1573,10
1672,5
1673,12
1674,16
1675,16
1676,7
1677,5
1678,6
1679,9
1686,6
1687,10
1688,3
1689,3
1690,3
1692,3
1711,2
1741,9
1744,10
1793,2
1809,9
1810,18
1858,6
1859,6
1884,5
1885,5
1886,5
1887,10
1888,1
1889,1
1890,30
1892,24
1909,0
1925,3
1929,9
1932,5
1933,14
1938,7
1939,14
1940,9
1941,3
1951,3
1984,6
1992,26
1993,18
1994,17
1995,23
2001,9
2006,6
2007,1
2179,3
2446,6
2475,15
2476,10
2477,0
2478,8
2479,4
2481,7
2483,12
2484,4
2485,4
2486,3
2487,9
2488,7
2490,10
2492,10
2493,9
2494,2
2496,0
2497,25
2498,4
2499,13
2500,12
2501,2
2503,1
2504,2
2505,3
2506,2
2508,13
2509,4
2510,11
2511,17
2513,7
2514,2
2515,2
2516,10
2517,11
2518,9
2519,12
2520,5
2521,6
2522,3
2524,6
2525,3
2526,7
2527,5
2528,5
2529,3
2530,1
2531,1
2556,14
2560,2
2790,3
2856,8
2865,3
2889,1
3111,13
3222,6
3300,4
3311,1
3334,6
3335,4
3357,4
3445,17
3464,15
3465,5
3484,3
3493,9
3494,4
3495,7
3496,7
3497,10
3498,3
3499,9
3500,7
3502,10
3503,9
3504,16
3505,8
3506,2
3507,8
3508,10
3510,1
3511,9
3557,5
3568,2
3590,1
3667,10
3699,1
3778,12
3837,6
3844,2
3846,5
3889,15
4000,2
4333,3
4889,3
5000,4
5019,3
5020,9
5030,7
5059,5
5064,2
5147,1
5148,3
5149,12
5218,5
5220,4
5222,5
5224,2
5225,2
5234,1
5259,1
5425,3
5451,2
5465,2
5663,7
5908,3
6326,5
6437,14
6883,4
6894,5
6915,5
6992,9
7015,1
7214,8
7325,5
7436,10
7503,1
7525,2
7758,6
8037,4
8103,1
8214,5
8362,6
8368,4
8369,4
8390,1
8401,10
8455,4
8491,12
8521,39
8523,34
8658,7
8769,16
8948,10
8959,5
8970,3
9044,1
9387,1
9403,6
9414,2
9435,13
9546,11
9657,9
9768,4
9880,1
9891,1
9902,1
9913,1
9924,2
9935,2
9946,2
9957,2
9968,1
9979,2
9991,3
9992,4
10003,2
10014,2
10025,2
10036,2
10047,2
10057,3
10068,3
10079,2
10090,3
10101,9
10102,3
10110,6
10183,6
10210,6
10321,7
10432,5
10505,3
10506,8
10509,19
10511,11
10514,3
10515,10
10516,3
10543,7
10654,5
10750,7
10751,10
10752,7
10753,4
10755,4
10756,4
10757,7
10758,1
10759,7
10760,22
10761,15
10822,9
10823,6
10824,8
10825,5
10826,7
10827,3
10828,8
10830,2
10831,7
10832,1
10833,1
10834,1
10835,0
10836,1
10837,4
10838,11
10839,4
10841,6
10842,6
10843,7
10844,9
10845,5
10846,1
10906,14
10917,2
10950,11
10951,5
10952,6
10982,4
11070,4
11072,8
11073,6
11074,2
11075,2
11076,4
11077,8
11078,4
11079,5
11080,13
11081,14
11083,8
11084,44
11088,2
11089,2
11090,3
11093,19
11095,10
11097,9
11098,5
11099,1
11100,5
11101,2
11102,1
11103,4
11104,4
11105,2
11174,11
11175,2
11205,7
11276,5
11277,2
11303,15
11305,9
11306,15
11307,7
11308,15
11311,4
